Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
"C1, C12, C2, C5, C6, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,7,10nf,
"C10, C16, C17, C3, C4, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,6,100nf,
"C11, C15",CP_Radial_D5.0mm_P2.50mm,2,0.47uf,
"C13, C14",CP_Radial_D5.0mm_P2.50mm,2,10uf,
CH1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH1,
CH1_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH1_ACC,
CH1_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH1,
CH2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH2,
CH2_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH2_ACC,
CH2_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH2,
CH3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH3,
CH3_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH3_ACC,
CH3_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH3,
CLK1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,ClockOutput,
CLOCK1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CLOCK,
D1,LED_D3.0mm,1,CH1,
D2,LED_D3.0mm,1,CH2,
D3,LED_D3.0mm,1,CH3,
D4,LED_D3.0mm,1,CLK,
"D5, D6",D_DO-34_SOD68_P7.62mm_Horizontal,2,1N5817,
D7,D_DO-34_SOD68_P7.62mm_Horizontal,1,1n4148,
FID2,OSHW-Logo2_14.6x12mm_SilkScreen,1,Fiducial,
"H1_2, H2_2",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J2, J4",PinSocket_1x02_P2.54mm_Vertical,3,Conn_01x2,
J10,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12,
J11,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
J12,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J13, J7",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10,
"J14, J15",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x2,
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
MIDI_IN1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MIDI_IN,
MIDI_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MIDI_OUT,
"P_CH1, P_CH2, P_CH3, P_RND1, P_TEMPO1, P_X1, P_Y1",Potentiometer_Alps_RK09K_Single_Vertical_round,7,10k,
"Q1, Q2",TO-92_Wide,2,2N3904,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R4, R40, R41, R42, R43, R44, R45, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,30,100k,
"R25, R26, R27, R28",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,100r,
"R29, R30",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10r,
R31,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
"R32, R33, R34, R35, R36, R37, R38, R39",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,1k,
R46,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
"R47, R48, R49, R50",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,220,
RESET1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_RESET,
RESET2,SW_PUSH_6mm,1,SW_Push,
RND1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RandomGate,
RND2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_RND,
"U1, U2, U3",DIP-8_W7.62mm,3,MCP6002_1,
U4,TO-220-3_Vertical,1,L7805,
U5,TO-92_Wide,1,LM4040LP-5,
U6,DIP-16_W7.62mm,1,74HC595,
U8,DIP-8_W7.62mm_Socket_LongPads,1,6N138,
X1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_X,
Y1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_Y,
