Designator,Mid X,Mid Y,Rotation,Layer
_4,68.497539,-134.027892,0.0,top
_3,14.951247,-134.235942,0.0,top
_2,68.435596,-11.876649,0.0,top
,15.535363,-11.830709,0.0,top
A1,148.59,-33.02,270.0,top
C1,130.81,-58.42,0.0,top
C10,154.94,-55.92,270.0,top
C11,154.164512,-80.388626,270.0,top
C12,162.953732,-76.44341,0.0,top
C13,143.51,-105.41,90.0,top
C14,143.51,-97.79,90.0,top
C15,140.97,-81.28,270.0,top
C16,109.22,-96.48,90.0,top
C17,250.4132,-70.9168,0.0,top
C2,111.76,-58.42,180.0,top
C3,127.0,-55.92,270.0,top
C4,115.61,-52.07,0.0,top
C5,130.81,-78.74,0.0,top
C6,111.76,-77.47,180.0,top
C7,127.0,-76.2,270.0,top
C8,158.79,-58.42,0.0,top
C9,139.7,-58.42,180.0,top
CH1,231.41,-109.22,270.0,top
CH1_AC1,231.41,-120.65,270.0,top
CH1_FILL1,231.41,-97.79,270.0,top
CH2,248.41,-109.22,270.0,top
CH2_AC1,248.41,-120.65,270.0,top
CH2_FILL1,248.41,-97.79,270.0,top
CH3,264.41,-109.22,270.0,top
CH3_AC1,264.41,-120.65,270.0,top
CH3_FILL1,264.41,-97.79,270.0,top
CLK1,214.41,-120.65,270.0,top
CLOCK1,231.41,-38.1,270.0,top
D1,223.61,-69.54,0.0,top
D2,240.21,-69.54,0.0,top
D3,256.41,-69.85,0.0,top
D4,241.0714,-38.1254,0.0,top
D5,143.6116,-113.0046,180.0,top
D6,139.7,-89.154,0.0,top
D7,238.0946,-44.6532,180.0,bottom
J1,125.1712,-39.37,0.0,bottom
J10,130.81,-74.93,270.0,bottom
J11,234.95,-74.93,90.0,bottom
J12,150.366892,-95.292585,0.0,top
J13,104.14,-21.54,0.0,bottom
J14,261.62,-21.54,0.0,bottom
J15,199.39,-100.33,0.0,bottom
J2,150.6474,-39.4208,0.0,bottom
J3,257.906544,-26.597133,180.0,bottom
J4,107.774304,-26.702626,180.0,bottom
J7,166.37,-100.33,0.0,bottom
MIDI_IN1,242.1636,-59.12,180.0,top
MIDI_OUT1,257.856194,-59.188247,180.0,top
P_CH1,227.41,-90.05,90.0,top
P_CH2,244.41,-90.05,90.0,top
P_CH3,260.41,-90.05,90.0,top
P_RND1,210.41,-90.05,90.0,top
P_TEMPO1,244.79,-32.9,90.0,top
P_X1,210.41,-59.69,90.0,top
P_Y1,210.41,-33.02,90.0,top
Q1,153.67,-24.13,270.0,top
Q2,143.51,-26.67,180.0,top
R1,129.54,-62.23,270.0,top
R10,132.08,-82.55,270.0,top
R11,127.0,-82.55,270.0,top
R12,109.22,-81.28,270.0,top
R13,106.68,-81.28,270.0,top
R14,111.76,-81.28,270.0,top
R15,124.46,-87.63,180.0,top
R16,114.3,-90.17,0.0,top
R17,157.48,-62.23,270.0,top
R18,160.02,-62.23,270.0,top
R19,154.94,-62.23,270.0,top
R2,132.08,-62.23,270.0,top
R20,137.16,-62.23,270.0,top
R21,134.62,-62.23,270.0,top
R22,139.7,-62.23,270.0,top
R23,152.4,-67.31,180.0,top
R24,142.24,-69.85,0.0,top
R25,134.5946,-28.575,90.0,top
R26,131.445,-28.575,90.0,top
R27,128.1938,-28.575,90.0,top
R28,124.968,-28.575,90.0,top
R29,153.67,-113.03,180.0,top
R3,127.0,-62.23,270.0,top
R30,147.2692,-86.7918,180.0,top
R31,135.850047,-92.563624,90.0,top
R32,110.49,-120.65,90.0,top
R33,113.03,-120.65,90.0,top
R34,115.57,-120.65,90.0,top
R35,118.11,-120.65,90.0,top
R36,120.65,-120.65,90.0,top
R37,123.19,-120.65,90.0,top
R38,125.73,-120.65,90.0,top
R39,128.27,-120.65,90.0,top
R4,109.22,-62.23,270.0,top
R40,158.75,-27.94,90.0,top
R41,161.29,-27.94,90.0,top
R42,157.226,-44.8056,90.0,top
R43,148.59,-29.21,90.0,top
R44,137.16,-22.86,0.0,top
R45,144.78,-20.32,180.0,top
R46,250.9012,-64.5668,180.0,bottom
R47,154.5336,-44.8564,90.0,top
R48,235.712,-56.134,90.0,bottom
R49,257.821861,-44.853745,90.0,bottom
R5,106.68,-62.23,270.0,top
R50,251.513086,-52.061851,270.0,bottom
R6,111.76,-62.23,270.0,top
R7,124.46,-67.31,180.0,top
R8,114.3,-69.85,0.0,top
R9,129.54,-82.55,270.0,top
RESET1,231.41,-25.4,270.0,top
RESET2,221.7,-50.4,0.0,top
RND1,214.41,-109.22,270.0,top
RND2,214.41,-97.79,270.0,top
U1,115.57,-55.88,0.0,top
U2,115.57,-76.2,0.0,top
U3,143.51,-55.88,0.0,top
U4,165.712493,-80.454426,180.0,top
U5,148.308271,-83.81025,90.0,top
U6,113.03,-104.14,90.0,top
U8,253.4412,-75.1332,90.0,bottom
X1,214.41,-67.31,270.0,top
Y1,214.41,-40.64,270.0,top
