Designator,Mid X,Mid Y,Rotation,Layer
A1,148.59,-33.02,270.0,top
C1,130.81,-58.42,0.0,top
C10,154.94,-55.92,270.0,top
C11,154.164512,-80.388626,270.0,top
C12,162.953732,-76.44341,0.0,top
C13,141.1,-105.15,90.0,top
C14,141.05,-97.825,90.0,top
C15,140.97,-81.28,270.0,top
C16,109.22,-96.48,90.0,top
C2,111.76,-58.42,180.0,top
C3,127.0,-55.92,270.0,top
C4,115.61,-52.07,0.0,top
C5,130.81,-78.74,0.0,top
C6,111.76,-77.47,180.0,top
C7,127.0,-76.2,270.0,top
C8,158.79,-58.42,0.0,top
C9,139.7,-58.42,180.0,top
D5,143.6116,-113.0046,180.0,top
D6,139.7,-89.154,0.0,top
J1,125.1712,-39.37,0.0,bottom
J10,130.81,-74.93,270.0,bottom
J12,150.366892,-95.292585,0.0,top
J13,104.14,-21.54,0.0,bottom
J2,150.6474,-39.4208,0.0,bottom
J4,107.774304,-26.702626,180.0,bottom
J5,148.975453,-120.5992,90.0,bottom
J6,159.287853,-120.5992,90.0,bottom
J7,166.37,-100.33,0.0,bottom
Q1,153.67,-24.13,270.0,top
Q2,143.51,-26.67,180.0,top
R1,129.54,-62.23,270.0,top
R10,132.08,-82.55,270.0,top
R11,127.0,-82.55,270.0,top
R12,109.22,-81.28,270.0,top
R13,106.68,-81.28,270.0,top
R14,111.76,-81.28,270.0,top
R15,124.46,-87.63,180.0,top
R16,114.3,-90.17,0.0,top
R17,157.48,-62.23,270.0,top
R18,160.02,-62.23,270.0,top
R19,154.94,-62.23,270.0,top
R2,132.08,-62.23,270.0,top
R20,137.16,-62.23,270.0,top
R21,134.62,-62.23,270.0,top
R22,139.7,-62.23,270.0,top
R23,152.4,-67.31,180.0,top
R24,142.24,-69.85,0.0,top
R25,134.5946,-28.575,90.0,top
R26,131.445,-28.575,90.0,top
R27,128.1938,-28.575,90.0,top
R28,124.968,-28.575,90.0,top
R29,153.67,-113.03,180.0,top
R3,127.0,-62.23,270.0,top
R30,147.2692,-86.7918,180.0,top
R31,135.850047,-92.563624,90.0,top
R32,110.49,-120.65,90.0,top
R33,113.03,-120.65,90.0,top
R34,115.57,-120.65,90.0,top
R35,118.11,-120.65,90.0,top
R36,120.65,-120.65,90.0,top
R37,123.19,-120.65,90.0,top
R38,125.73,-120.65,90.0,top
R39,128.27,-120.65,90.0,top
R4,109.22,-62.23,270.0,top
R40,158.75,-27.94,90.0,top
R41,161.29,-27.94,90.0,top
R42,157.226,-44.8056,90.0,top
R43,148.59,-29.21,90.0,top
R44,137.16,-22.86,0.0,top
R45,144.78,-20.32,180.0,top
R49,107.979853,-113.0808,270.0,top
R5,106.68,-62.23,270.0,top
R6,111.76,-62.23,270.0,top
R7,124.46,-67.31,180.0,top
R8,114.3,-69.85,0.0,top
R9,129.54,-82.55,270.0,top
U1,115.57,-55.88,0.0,top
U2,115.57,-76.2,0.0,top
U3,143.51,-55.88,0.0,top
U4,165.712493,-80.454426,180.0,top
U5,148.308271,-83.81025,90.0,top
U6,113.03,-104.14,90.0,top
