Designator,Footprint,Quantity,Value,LCSC Part #
C17,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100nf,
CH1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH1,
CH1_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH1_ACC,
CH1_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH1,
CH2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH2,
CH2_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH2_ACC,
CH2_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH2,
CH3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH3,
CH3_AC1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CH3_ACC,
CH3_FILL1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CH3,
CLOCK1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_CLOCK,
D1,LED_D3.0mm,1,CH1,
D2,LED_D3.0mm,1,CH2,
D3,LED_D3.0mm,1,CH3,
D4,LED_D3.0mm,1,CLK,
D7,D_DO-34_SOD68_P7.62mm_Horizontal,1,1n4148,
H2,MountingHole_3.2mm_M3,1,MountingHole,
J11,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
"J14, J15",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10,
"J3, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x4,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x3,
MIDI_IN_RND_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MIDI_IN_RND,
MIDI_OUT_CLOCK_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MIDI_OUT-CLOCK_OUT,
"P_CH1, P_CH2, P_CH3, P_RND1, P_TEMPO1, P_X1, P_Y1",Potentiometer_Alps_RK09K_Single_Vertical_round,7,10k,
R46,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
"R47, R48, R50",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,220,
RESET1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_RESET,
RESET2,SW_PUSH_6mm,1,SW_Push,
RND2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_RND,
U8,DIP-8_W7.62mm_Socket_LongPads,1,6N138,
X1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_X,
Y1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_Y,
